Gender,Age,Occupational Sector ,Streams,Mode,Stage_Phd,Year_completion,Type_University,ING1,ING2,ING3,IDN1,IDN2,IDN3,INR1,INR2,INR3,EXT1,EXT2,EXT3,EXT4,EXT5,INT1,INT2,INT3,SE1,SE2,SE3,SE4,SE5,SE6,SE7,SE8,Methodology,Method,survey,perspectives,critical_analysis,career_mgmt,scholarly_perspective,Communication,Flexible,Execution,Network,Project_mgmt,Pedagogy,Team_work,PHD_Track,Guiding_Research,Teaching_RM,Data_Analysis,Getting_Funds,Suggestion_Improve
Female,30-40,Industry,Others,Part time,Completed Ph.D,2019,State Univ. ,5,3,4,5,5,3,2,5,5,4,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,Quantitative research approach  (psychometrics),Survey,1,4,4,4,5,5,5,5,5,5,3,5,On Track,5,4,5,3,Need more comprehensive approach 
Female,41-50,Academics,Others,Full Time,Completed Ph.D,2012,State Univ. ,5,4,3,5,5,5,1,2,2,2,4,4,2,2,4,3,1,2,2,2,1,2,1,1,1,Quantitative research approach  (psychometrics),Survey,5,5,5,3,5,5,2,3,2,3,2,5,Delayed 2 yrs,5,5,5,4,For many early career faculty becoming a mentor to a phd student is a mentor to a phd student in a major transition prepared. Sometimes they are not adequately for research requirements. Institution can facilitate this transition by supporting faculty development progress and mentoring the faculty 
Female,GT 50yrs,Academics,Others,Part time,Completed Ph.D,2015,State Univ. ,5,3,3,4,4,4,3,3,3,1,4,4,3,2,4,4,4,4,4,4,3,3,3,3,3,Quantitative research approach  (psychometrics),Survey,3,4,4,3,4,4,4,4,3,3,4,4,On Track,4,3,3,4,Reputed indexed  journal publication  before submission of thesis
Female,30-40,Academics,Others,Full Time,"Final stage (Thesis writing, submission and viva)",Not completed ,State Univ. ,4,4,5,4,4,5,5,3,2,4,5,3,4,3,4,5,5,5,2,2,3,2,4,4,3,Mixed Research Method,Survey,5,3,2,4,5,5,4,3,5,1,2,5,Delayed 1 yr,4,3,1,1,Must provide funds to scholars
Female,GT 50yrs,Academics,Others,Part time,First stage (Coursework),Not completed,State Univ. ,4,2,4,5,5,5,1,4,4,2,2,2,1,4,4,5,5,4,2,4,2,2,4,2,2,Qualitative research approach;Quantitative research approach  (psychometrics),Survey;Interview;Content Analysis,2,3,2,2,3,3,2,3,3,3,3,3,Delayed 1 yr,3,3,2,3,Red tapism should be minimised
Male,30-40,Academics,Others,Full Time,Completed Ph.D,2022,Excell.Instt.,5,5,5,5,5,5,1,1,1,3,5,5,4,4,4,2,4,5,2,3,4,2,2,1,1,Mixed Research Method,Survey,3,4,5,5,5,4,4,4,5,5,5,4,On Track,5,4,1,3,Universities should open a thesis writing centre to help scholars in writing thesis as many fear written communication in English
Female,LT 30yrs,Academics,Others,Full Time,Third stage (Data collection and analysis),Not completed yet,Pvt Univ. ,4,4,3,5,4,2,1,1,4,5,4,4,1,2,5,3,3,4,3,4,4,3,4,4,4,Qualitative research approach;Quantitative research approach  (econometrics),Survey,4,3,4,4,5,5,4,4,3,4,2,3,Delayed 1 yr,4,4,3,4,Increase access to peer reviewed articles
Female,30-40,Academics,Others,Part time,"Final stage (Thesis writing, submission and viva)",Not completed yet,State Univ. ,4,3,3,5,5,5,2,3,4,4,4,4,2,4,5,5,5,3,3,4,3,3,4,4,3,Mixed Research Method,Survey;Interview,4,4,4,4,4,4,4,4,4,4,4,4,Delayed >3 yrs,4,4,3,3,More accessible facilities 
Male,GT 50yrs,Academics,Others,Part time,Completed Ph.D,2009,State Univ. ,5,1,1,4,5,5,1,5,1,3,3,3,1,4,4,4,4,4,2,4,5,5,5,4,5,Quantitative research approach  (psychometrics),Experimental,2,5,4,4,4,4,3,4,4,4,4,5,On Track,3,4,3,3,Students should have flexibility to select topic for research.
Female,41-50,Academics,Others,Full Time,Completed Ph.D,2012,State Univ. ,5,5,4,4,4,4,3,2,4,3,3,4,3,3,5,5,5,4,4,4,4,3,4,3,4,Qualitative research approach;Mixed Research Method,Survey;Phenomenology;Interview;Content Analysis,4,4,4,4,5,4,3,3,3,3,4,4,On Track,4,4,4,4,Scholars should learn more and be an independent researcher . University must ensure the rigour of the research thesis and aim at quality work .
Female,30-40,Academics,Others,Part time,Completed Ph.D,2018,State Univ. ,5,4,4,4,4,3,1,2,5,4,5,5,4,4,4,4,4,4,4,4,4,3,4,3,3,Qualitative research approach,Survey,4,4,4,4,4,4,4,4,4,4,4,4,Delayed 2 yrs,4,2,2,4,More recognition and good pay
Female,30-40,Industry,Others,Full Time,"Final stage (Thesis writing, submission and viva)",2022,Pvt Univ. ,4,3,3,4,4,4,2,3,3,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,3,Mixed Research Method,Survey;Interview,4,4,3,2,3,4,2,3,4,3,2,3,Delayed 1 yr,3,3,3,3,Right Direction 
Female,41-50,Academics,Mgmt,Part time,Third stage (Data collection and analysis),Not yet,State Univ. ,4,3,3,4,4,3,2,3,2,2,3,2,3,2,2,3,3,4,3,3,2,3,3,2,3,Quantitative research approach  (psychometrics),Survey,4,4,4,3,4,4,2,3,5,4,3,4,On Track,3,3,2,3,University is not updating the progress of the candidates on regular basis where scholar have to wait for long time period to move further 
Male,30-40,Academics,Mgmt,Part time,Third stage (Data collection and analysis),No,State Univ. ,3,4,2,2,2,3,1,5,5,5,5,5,5,4,5,4,3,5,1,5,2,1,1,1,1,Qualitative research approach,Survey,1,4,4,4,5,1,5,5,5,4,5,4,On Track,4,3,1,3,Inculcate quality by providing relavant software and other resources..
Female,LT 30yrs,Academics,Soc.Science,Full Time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",0,Pvt Univ. ,5,4,5,4,4,3,1,1,4,5,5,5,3,5,4,3,3,5,5,5,5,5,5,4,3,Quantitative research approach  (econometrics),Experimental,5,5,5,5,5,5,4,5,5,5,5,5,On Track,4,3,3,2,"College fee for PhD programs should be between 10k-20k annually, net should not be a compulsory requirement for contractual lecturer, universities rather pvt or govt should focus on quality of research and not quantity, for instance publishing 2-3 or more SCI papers should not be a PhD qualifying category.
Residential facility till our PhD is completed should be fixed and not change on annual or semester basis as it is prevailing for other courses.
The stipend should increase to around 40k-50k."
Male,GT 50yrs,Others,STEM,Part time,Completed Ph.D,2019,State Univ. ,5,5,5,5,5,5,1,5,5,5,3,3,3,5,5,5,5,5,1,4,5,4,5,5,5,Mixed Research Method,Survey;Others,5,5,5,3,5,5,5,5,5,5,5,5,Delayed 2 yrs,5,5,3,3,"Enrolling industry Resource person for guidance. Even they don't allow Doctorates to enroll as guides. Ex: VTU, a pathetic one. "
Female,30-40,Academics,Soc.Science,Full Time,"Final stage (Thesis writing, submission and viva)",2022,Pvt Univ. ,4,4,4,5,5,5,2,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,Quantitative research approach  (psychometrics),Survey,4,4,4,4,4,4,4,4,4,4,4,4,On Track,5,4,3,4,Need to learn data analysis and interpretation in early days of PhD 
Male,30-40,Industry,Mgmt,Part time,Completed Ph.D,2021,State Univ. ,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Mixed Research Method,Experimental;Survey;Interview,5,5,5,5,5,5,5,5,5,5,5,5,On Track,5,5,3,5,"Open up the opportunities to Research Scholar for carry out the crystal clear Research, which may be useful for policy makers. "
Female,30-40,Academics,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",Not completed ,State Univ. ,4,3,3,5,5,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,Quantitative research approach  (psychometrics),Survey,4,4,4,4,4,4,4,4,3,3,3,3,Delayed 1 yr,1,1,1,1,No suggestions 
Male,41-50,Industry,Mgmt,Part time,Completed Ph.D,2021,State Univ. ,5,3,5,5,5,5,1,1,1,3,2,2,2,3,5,5,5,5,3,4,4,3,4,4,4,Qualitative research approach;Quantitative research approach  (psychometrics),Survey,4,5,5,4,4,5,5,5,4,4,4,5,On Track,5,4,3,3,"Better involvement of Guides with scholars. Most guided are not quite helpful and they are unable to help scholars progress with rational goals. They are mostly doing Admin kind of support than inputs for quality research. If each scholar has a good guide, the overall quality of research will certainly improve. "
Female,41-50,Academics,Mgmt,Part time,Completed Ph.D,2018,Central Univ. ,5,4,5,5,5,5,1,5,1,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,Qualitative research approach,Survey,5,5,5,5,5,5,5,5,5,5,5,5,Delayed 1 yr,4,2,3,4,Knowledge of Research Methodology and use of statistical tools and techniques! 
Female,41-50,Academics,Mgmt,Part time,Completed Ph.D,2011,State Univ. ,5,5,5,5,5,5,1,2,3,5,5,4,5,1,5,5,5,5,3,5,4,5,5,3,3,Mixed Research Method,Experimental;Survey;Interview;Content Analysis,5,5,5,5,5,5,5,5,5,5,5,5,Delayed 2 yrs,5,5,2,5,Involvement of the research guides is much nesded
Female,41-50,Academics,Mgmt,Part time,Completed Ph.D,2016,Central Univ. ,5,5,4,4,4,4,2,2,4,2,3,2,2,1,2,2,4,3,2,3,3,3,3,2,2,Quantitative research approach  (econometrics),Content Analysis,2,4,4,4,4,3,2,3,4,2,3,3,Delayed 3 yrs,3,1,3,2,"Intensive course work
"
Female,41-50,Academics,Others,Part time,Completed Ph.D,2021,State Univ. ,4,3,4,5,3,4,1,3,3,4,2,2,3,4,4,3,4,3,2,2,3,4,3,3,4,Mixed Research Method,Survey,4,5,4,3,4,4,4,4,5,4,4,4,On Track,4,3,3,3,"needs mental maturity and should not be compelled as it is done now, where it is just degree focussed and not knowledge focussed, it has to supplement the teaching process"
Male,GT 50yrs,Academics,Mgmt,Full Time,Completed Ph.D,2009,Central Univ. ,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,Quantitative research approach  (psychometrics),Survey,5,5,5,4,5,4,4,4,4,5,5,5,On Track,5,4,5,5,More challenging topics
Female,41-50,Academics,Soc.Science,Full Time,Completed Ph.D,2006,State Univ. ,3,3,3,3,4,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Qualitative research approach;Mixed Research Method,Case Study;Interview;Content Analysis,3,3,3,3,5,5,4,3,5,4,5,4,Delayed 1 yr,5,5,4,5,Mandatory and Effective coursework extended for at least two years as a part of PhD program 
Female,30-40,Academics,Soc.Science,Full Time,Completed Ph.D,2014,State Univ. ,5,4,4,4,4,4,2,4,2,3,5,5,4,5,4,3,4,4,4,5,3,4,3,3,2,Quantitative research approach  (psychometrics);Quantitative research approach  (econometrics),Survey;Content Analysis,5,5,5,5,5,5,3,3,4,4,4,4,On Track,4,4,4,4,Encouraging scholars to participate in workshops for improving data analysis and writing skills
Female,30-40,Academics,Mgmt,Part time,Completed Ph.D,2022,State Univ. ,4,4,3,4,4,3,3,1,1,1,4,4,4,1,4,2,4,4,4,4,4,4,4,1,1,Mixed Research Method,Survey;Interview,4,4,4,4,4,4,2,4,4,3,4,4,On Track,4,4,3,2,Effective communication from the university will help the scholars to complete the PhD timely. 
Female,GT 50yrs,Academics,Mgmt,Part time,Completed Ph.D,1997,State Univ. ,4,5,4,5,5,5,2,2,3,4,4,4,4,3,5,3,5,4,3,3,4,3,3,5,4,Qualitative research approach;Quantitative research approach  (psychometrics);Mixed Research Method,Case Study;Survey;Stylised facts;Interview;Content Analysis,4,5,4,5,5,5,3,3,4,4,5,5,Delayed 1 yr,5,5,4,5,Citations from Indian work
Female,41-50,Others,Mgmt,Part time,"Final stage (Thesis writing, submission and viva)",2020,State Univ. ,5,4,3,4,4,4,1,1,5,3,5,4,2,4,5,5,4,4,2,4,3,3,4,3,2,Quantitative research approach  (psychometrics),Survey,5,5,5,4,5,4,4,4,4,4,4,4,Delayed 2 yrs,4,3,3,3,"Research and it's significance should be explained at school itself. More assignments involving primary data collection should be given to students. Other than maths, statistics should be taught with practical implications."
Male,41-50,Academics,Mgmt,Part time,Completed Ph.D,2019,State Univ. ,5,2,4,4,4,5,1,4,3,4,5,5,2,5,4,3,3,2,4,3,4,5,4,3,4,Quantitative research approach  (psychometrics),Survey,2,3,4,4,2,5,4,4,5,2,3,2,Delayed 1 yr,5,4,5,4,Nil
Female,41-50,Academics,Others,Part time,Third stage (Data collection and analysis),Not completed,Pvt Univ. ,5,1,1,5,5,5,1,1,1,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,Qualitative research approach;Quantitative research approach  (psychometrics);Mixed Research Method,Survey,5,5,5,5,5,5,5,5,5,5,5,5,Delayed 3 yrs,1,1,1,1,Some orientation programs to be conducted for the scholars to give more insight on it by the universities 
Male,30-40,Industry,Mgmt,Part time,Third stage (Data collection and analysis),NA,Pvt Univ. ,4,5,5,4,3,4,2,1,2,5,4,5,4,4,4,4,4,4,4,5,5,4,3,4,4,Mixed Research Method,Survey;Interview;Content Analysis,5,4,5,4,4,4,4,4,5,5,5,5,Delayed 2 yrs,4,4,3,4,Have thorough coursework requirements and provide consistent research techniques improving workshops and colloquiums. Ensure every PhD Scholar is getting some financial assistance for sure. Entertain foreign faculty collaborations.
Male,GT 50yrs,Industry,Mgmt,Part time,Completed Ph.D,2017,Pvt Univ. ,5,3,3,5,3,3,1,1,3,5,1,1,1,3,3,5,3,1,1,3,1,1,1,1,3,Quantitative research approach  (econometrics),Survey,3,3,3,4,5,4,3,3,5,3,1,1,Delayed 1 yr,3,1,1,3,Very academic oriented.  Make it purpose oriented...
Female,30-40,Academics,Mgmt,Part time,"Final stage (Thesis writing, submission and viva)",Yet to submit my thesis,Pvt Univ. ,5,4,4,5,4,5,3,4,3,5,4,4,1,3,4,3,5,4,3,5,5,4,3,4,4,Mixed Research Method,Case Study;Interview,5,4,5,5,3,4,4,5,5,5,4,5,Delayed >3 yrs,4,3,3,3,Guide should not be changed and as a researcher PhD accomplishment should stay focus immediately after registration. Statistics learning is very important. 
Female,41-50,Academics,Soc.Science,Part time,"Final stage (Thesis writing, submission and viva)",Not yet,Pvt Univ. ,4,3,3,4,4,4,3,5,3,5,5,5,5,4,4,4,4,3,1,2,3,3,3,3,4,Qualitative research approach,Survey;Interview,4,3,4,4,4,4,3,4,4,4,4,4,On Track,4,3,2,3,Nil
Female,41-50,Academics,Mgmt,Part time,"Final stage (Thesis writing, submission and viva)","No, still pricess is going on",State Univ. ,5,5,4,4,4,4,1,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,Mixed Research Method,Survey;Interview,4,4,4,5,4,2,4,4,3,3,5,4,Delayed >3 yrs,4,4,3,2,"Now a days,  PhD is becoming a paid version, many people they thinking that, if we spend money we are easily getting PhD. So then there is no value to Phd. So please all the universities must take a strong action's toward this bad assumption and perception. 
"
Female,30-40,Academics,Mgmt,Part time,Third stage (Data collection and analysis),2023,State Univ. ,1,2,3,3,2,4,3,4,4,4,4,4,3,3,4,4,4,4,2,4,4,4,2,2,2,Quantitative research approach  (psychometrics);Quantitative research approach  (econometrics);Mixed Research Method,Survey,2,2,2,3,3,3,2,2,2,2,2,2,Delayed 2 yrs,2,2,2,1,It might not have a fixed structure for all type of research 
Female,30-40,Academics,Mgmt,Part time,Completed Ph.D,2022,Pvt Univ. ,5,4,4,5,5,4,1,4,5,4,3,4,1,4,3,5,5,4,3,4,4,4,4,2,3,Quantitative research approach  (econometrics),Survey,4,4,3,4,4,4,4,4,5,5,4,4,Delayed 2 yrs,3,4,1,4,capacity building programs
Male,30-40,Academics,STEM,Full Time,Completed Ph.D,2018,Excell.Instt.,5,5,4,5,5,4,2,4,5,2,3,4,3,4,5,5,5,4,4,4,4,4,5,4,4,Mixed Research Method,Case Study;Experimental;Survey,5,5,5,3,4,4,4,4,4,4,3,5,On Track,4,4,3,5,Opportunity and reduced red tape mechanism
Female,41-50,Academics,STEM,Part time,Completed Ph.D,2020,State Univ. ,3,3,2,4,5,4,1,1,1,4,4,4,4,4,4,4,4,4,2,3,4,4,4,2,3,Qualitative research approach;Machine Learning / AI approach,Case Study;Survey,4,4,4,4,4,4,4,4,4,4,4,4,On Track,3,3,4,3,Reduce course works
Female,41-50,Academics,Mgmt,Part time,Completed Ph.D,2016,State Univ. ,5,4,3,5,5,5,1,3,4,3,4,3,1,1,5,5,4,4,3,4,4,4,4,3,3,Mixed Research Method,Survey;Interview,4,4,4,4,5,4,4,4,5,4,4,5,Delayed 1 yr,4,5,4,4,"Need a proper quality control system in the each stage of the research. 
There should be exclusive training programs for the Ph.D  Guides. "
Female,30-40,Others,Mgmt,Part time,First stage (Coursework),No,Pvt Univ. ,5,5,5,5,5,5,4,4,2,1,4,3,3,1,5,5,4,4,3,4,3,3,4,3,3,Quantitative research approach  (econometrics);Machine Learning / AI approach,Stylised facts,3,4,4,4,5,5,3,4,2,4,4,3,On Track,4,4,4,3,Time engagement with research for faculties are quite difficult among academic responsibilities. 
Male,41-50,Others,Mgmt,Part time,First stage (Coursework),NA,Pvt Univ. ,4,4,5,4,5,2,1,1,1,2,2,2,2,2,3,3,3,4,2,5,3,2,3,3,2,Mixed Research Method,Case Study;Interview;Content Analysis,3,4,4,4,5,4,4,5,5,5,4,5,On Track,3,3,3,2,The foremost is the easy access to resources and more flexible approach in the requirements in terms of coursework. The availability of quality mentors and supervisors.  
Female,30-40,Academics,Others,Part time,Completed Ph.D,2022,State Univ. ,5,4,5,5,5,5,1,1,2,4,2,1,4,4,4,5,5,4,3,3,4,3,4,3,3,Qualitative research approach,Content Analysis,4,4,5,5,4,5,4,4,4,4,5,5,Delayed 1 yr,4,4,4,3,The suggestions of every thesis must be possible to implement in real life for Social contribution.
Male,30-40,Academics,Mgmt,Full Time,Completed Ph.D,2022,Pvt Univ. ,5,3,5,5,5,4,1,1,1,3,4,3,2,2,4,3,2,5,2,4,4,3,3,3,2,Mixed Research Method,Survey,4,5,5,3,5,4,2,3,5,4,3,3,On Track,4,4,5,3,Must be Passionate what you are doing..... Enjoy the challenge of achieving... excellence in research 
Female,41-50,Academics,Others,Full Time,"Final stage (Thesis writing, submission and viva)",Yet to complete,Pvt Univ. ,4,4,5,4,5,5,3,1,3,1,4,4,3,2,5,5,5,4,3,3,3,3,4,3,3,Mixed Research Method,Survey;Interview;Content Analysis,3,4,4,4,5,5,5,5,4,4,4,4,On Track,3,4,3,3,Effectiveness and efficiency is mostly found in full time PhD programme.
Female,GT 50yrs,Academics,Mgmt,Full Time,Completed Ph.D,2019,State Univ. ,4,4,4,5,5,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Quantitative research approach  (psychometrics),Survey,4,4,4,4,4,4,4,4,4,4,4,4,Delayed 2 yrs,4,3,3,3,Should be society oriented 
Female,LT 30yrs,Academics,Mgmt,Full Time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",NA,Pvt Univ. ,4,3,4,4,5,5,1,1,1,2,2,2,2,2,4,4,4,4,2,2,4,3,4,2,2,Qualitative research approach;Quantitative research approach  (econometrics),Survey;Ethnography;Interview,4,4,4,4,4,4,4,4,4,4,4,4,On Track,4,4,3,3,NA
Female,41-50,Academics,Mgmt,Full Time,Completed Ph.D,2017,State Univ. ,5,5,5,5,5,2,1,2,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,Quantitative research approach  (psychometrics),Survey;Interview,2,2,2,2,1,1,1,2,2,2,2,2,On Track,5,5,5,3,Being more flexible towards approaching cross disciplines 
Male,41-50,Academics,Mgmt,Part time,Completed Ph.D,2019,State Univ. ,4,4,4,3,3,3,3,5,5,4,4,5,4,5,4,3,3,4,2,3,3,3,3,3,3,Qualitative research approach;Quantitative research approach  (econometrics),Survey;Interview;Content Analysis,4,4,4,3,4,3,2,3,4,4,3,3,Delayed 3 yrs,4,5,5,4,Allowing only experimental research than allowing PhD based on  just primary data through questionnaires etc. Universities should make mandatory that output of PhD should have a societal benefit. 
Male,41-50,Industry,Soc.Science,Part time,"Final stage (Thesis writing, submission and viva)",NA,Pvt Univ. ,5,3,3,5,3,3,2,2,2,3,3,3,2,2,3,2,3,3,3,3,3,3,2,2,2,Machine Learning / AI approach,Survey;Interview,2,2,2,2,2,2,2,2,2,2,2,2,Delayed 3 yrs,3,3,3,3,Not any
Female,30-40,Academics,Mgmt,Full Time,"Final stage (Thesis writing, submission and viva)",No,State Univ. ,4,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,4,3,Mixed Research Method,Experimental;Survey;Interview;Content Analysis,5,4,5,4,4,4,3,4,5,5,5,4,On Track,4,3,3,3,.
Female,41-50,Academics,Soc.Science,Part time,"Final stage (Thesis writing, submission and viva)",No,Pvt Univ. ,5,5,5,4,4,5,1,1,3,5,3,3,1,1,5,4,5,5,5,5,5,5,5,5,5,Qualitative research approach,Survey,5,4,5,5,5,5,5,5,5,3,5,5,Delayed >3 yrs,5,5,2,1,.
Male,41-50,Academics,Mgmt,Part time,Third stage (Data collection and analysis),Not yet,Pvt Univ. ,3,3,3,3,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,Mixed Research Method,Survey;Interview,3,3,2,2,3,2,2,2,3,3,3,3,Delayed >3 yrs,1,1,1,4,"I strongly feel PhD is not providing the depth and confidence which it should have. Secondly, in India, anybody can teach any subject can take away the knowledge gained thru PhD for anybody. Specialization has to be emphasized"
Female,30-40,Academics,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",No,Pvt Univ. ,5,5,5,5,5,5,1,1,1,3,4,5,3,2,5,5,5,3,3,4,5,5,5,5,5,Quantitative research approach  (psychometrics),Survey,5,5,5,5,5,5,5,5,5,5,4,5,On Track,5,5,5,5,The Indian institutions are working much more on beuracratic way. The working professionals are not getting enough time to devote themselves into the research work. 
Female,GT 50yrs,Academics,STEM,Part time,Completed Ph.D,2016,State Univ. ,5,3,2,3,2,4,1,1,1,5,3,3,1,3,5,5,5,4,1,2,2,2,2,3,2,Mixed Research Method,Experimental,5,5,5,3,5,5,5,4,5,5,3,3,On Track,4,4,3,4,"More funding, better research environment, more involvement of research guides, stringent action on those who follow unethical practices. "
Male,30-40,Academics,Mgmt,Part time,First stage (Coursework),Not yet completed ,State Univ. ,5,5,4,5,4,5,3,4,4,4,5,5,5,5,5,4,5,4,5,5,5,4,4,5,4,Qualitative research approach;Quantitative research approach  (psychometrics);Mixed Research Method,Survey;Interview,3,4,4,5,5,4,5,5,5,4,4,5,Delayed 1 yr,4,5,5,4, No comments
Male,30-40,Others,Soc.Science,Full Time,First stage (Coursework),0,Central Univ. ,1,3,3,1,1,1,5,5,5,2,1,3,5,5,3,1,3,1,2,1,1,1,1,1,5,Qualitative research approach,Stylised facts;Content Analysis,1,1,1,1,1,1,1,1,1,1,1,1,On Track,2,1,1,1,Litreature Review and Learn more and more about your research related relevant book and Research paper.
Male,30-40,Academics,Mgmt,Part time,Completed Ph.D,2021,State Univ. ,4,4,4,4,5,4,4,5,5,5,5,5,5,5,4,4,5,5,4,3,4,3,3,4,3,Quantitative research approach  (psychometrics),Case Study;Survey;Interview,4,4,3,4,4,4,4,4,4,4,4,3,Delayed 2 yrs,4,4,4,4,State Universities are not allowing to guide students from private institutions research guides and that barriers should be removed. If that is done the opportunities will be open for all. 
Male,GT 50yrs,Industry,Mgmt,Part time,Completed Ph.D,2022,Excell.Instt.,5,5,5,5,5,5,5,4,5,5,3,3,5,4,5,5,5,5,4,5,5,4,4,4,5,Mixed Research Method,Survey,5,5,5,5,5,5,5,5,5,5,5,5,Delayed 1 yr,5,5,4,5,Abundant access to international publications 
Female,41-50,Academics,Mgmt,Part time,Completed Ph.D,2011,Central Univ. ,5,5,4,5,5,5,1,2,1,4,4,4,5,5,5,4,4,5,4,4,5,3,3,3,2,Quantitative research approach  (psychometrics),Survey;Interview,3,2,4,5,5,5,3,5,5,5,5,5,On Track,5,4,4,5,Guides should be a Role models to their Research scholars not mere signing guides.
Female,GT 50yrs,Academics,Mgmt,Part time,Completed Ph.D,2009,State Univ. ,3,4,4,4,4,4,1,1,1,1,4,4,3,3,4,3,3,4,3,4,3,3,3,3,1,Quantitative research approach  (psychometrics);Mixed Research Method,Survey,5,4,4,5,4,3,3,4,4,4,4,3,On Track,5,5,5,4,None
Male,41-50,Academics,Mgmt,Part time,Completed Ph.D,2015,Pvt Univ. ,4,3,4,3,3,2,1,3,3,4,4,4,4,2,3,3,3,4,4,4,4,2,3,1,4,Quantitative research approach  (psychometrics),Survey,3,3,3,2,2,2,2,2,4,3,2,2,Delayed 1 yr,4,2,3,4,More flexibility to Scholar
Female,30-40,Academics,Mgmt,Part time,Third stage (Data collection and analysis),Not completed,State Univ. ,3,2,4,4,4,4,2,4,5,4,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,Mixed Research Method,Survey;Content Analysis,4,4,4,4,4,4,5,4,5,5,4,4,Delayed 1 yr,4,4,4,4,"Make it timeline oriented ,provide support where ever required"
Male,30-40,Academics,Mgmt,Part time,"Final stage (Thesis writing, submission and viva)",Pursuing,State Univ. ,5,5,5,5,5,5,4,5,5,5,5,5,3,3,5,4,4,5,5,2,3,3,4,1,3,Mixed Research Method,Phenomenology,2,2,2,2,2,2,2,2,2,2,2,2,Delayed >3 yrs,3,3,3,3,Don't make research as compulsory
Male,30-40,Academics,Mgmt,Part time,Completed Ph.D,2021,Pvt Univ. ,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,4,2,Qualitative research approach,Survey,5,5,5,5,5,5,5,5,5,5,5,5,Delayed 1 yr,4,2,2,3,Have little patience and work hard for learn new things never loos ur hope 
